Group,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
ALL,B1,32,192,4.90625,1.4368240500441731,5.0,1.0,7.0,-0.7329652700029583,-0.12061340916010899,4.701717834119911,5.110782165880089,2.5347263177266655e-10
ALL,B2,32,192,4.46875,1.6046602615425554,5.0,1.0,7.0,-0.26554975660262936,-1.042199400948742,4.240326318767132,4.697173681232868,1.2728486709079334e-08
ALL,B3,32,192,3.953125,1.8025260416676516,4.0,1.0,7.0,0.15202823307676888,-0.9676371606669019,3.696535088837104,4.209714911162896,1.1213003858756565e-07
ALL,Bmean,32,192,4.442708333333333,1.4290121406343201,4.5,1.3333333333333333,7.0,-0.2862758976404723,-0.7787220812863964,4.23928819418415,4.646128472482516,7.880178600316867e-05
