Group,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
ALL,IPQ1,32,32,4.5625,1.293594641599212,5.0,1.0,6.0,-1.2912556932967356,1.2039000305334335,4.096109396783612,5.028890603216388,5.3586947615258396e-05
ALL,IPQ2,32,32,5.71875,0.9913944236406651,6.0,3.0,7.0,-0.6561077235767274,0.47336407535877045,5.3613141940697,6.0761858059303,0.0020962427370250225
ALL,IPQ3,32,32,5.6875,1.0606601717798212,6.0,3.0,7.0,-0.8745483152739714,0.873530259959626,5.3050912288006735,6.0699087711993265,0.0006944542983546853
ALL,IPQ4,32,32,5.25,1.2951522516054665,5.0,2.0,7.0,-0.6889596888717837,0.10768720669251142,4.783047818490822,5.716952181509178,0.008428866043686867
ALL,IPQ5,32,32,5.65625,1.1807426585867267,6.0,2.0,7.0,-1.277796719882745,2.0821169315681427,5.230546875487367,6.081953124512633,0.0003004961763508618
ALL,IPQ6,32,32,5.96875,0.9327162898863485,6.0,3.0,7.0,-1.2073037156319089,2.236502139682191,5.632469917290272,6.305030082709728,8.872200851328671e-05
ALL,IPQ_mean,32,32,5.473958333333333,0.7988672255675667,5.583333333333334,3.5,6.833333333333333,-0.5571177480598803,0.12559853156756118,5.185935984414471,5.7619806822521955,0.51119065284729
