Group,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
ALL,S1,32,384,5.229166666666667,1.304574531578063,5.0,1.0,7.0,-0.6226911163445901,-0.07854211426807822,5.098270798675352,5.360062534657982,2.065087331823076e-14
ALL,S2,32,384,5.369791666666667,1.3763098041903696,6.0,2.0,7.0,-0.6989422925407371,-0.36081184027747826,5.231698164084998,5.507885169248336,3.043385409017761e-16
ALL,S3,32,384,5.171875,1.505998666777034,5.0,1.0,7.0,-0.7145103010645045,-0.19769564126002992,5.0207690279685755,5.3229809720314245,3.8613877313730186e-15
ALL,S4,32,384,5.192708333333333,1.5241652968248758,5.0,1.0,7.0,-0.6931772673922983,-0.2587390474128046,5.039779593226165,5.345637073440501,3.6561245431989894e-15
ALL,S5,32,384,6.424479166666667,1.7728809259599827,7.0,2.0,9.0,-0.38497856610955605,-0.5068202977809628,6.246595280363854,6.60236305296948,4.0819667090907785e-11
