Group,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
ALL,IPQ1,24,24,4.958333333333333,0.7506036218280918,5.0,3.0,6.0,-0.6032366061679423,0.8285725296095334,4.641381221311319,5.2752854453553475,0.000759019167162478
ALL,IPQ2,24,24,6.0,0.8340576562282991,6.0,4.0,7.0,-0.49048276942971,-0.1680194805194799,5.647808339845401,6.352191660154599,0.002529940102249384
ALL,IPQ3,24,24,6.0,0.8340576562282991,6.0,4.0,7.0,-0.49048276942971,-0.1680194805194799,5.647808339845401,6.352191660154599,0.002529940102249384
ALL,IPQ4,24,24,5.416666666666667,1.212853862900895,5.5,3.0,7.0,-0.42609713097689095,-0.4930104475349437,4.904523396581915,5.928809936751419,0.030779670923948288
ALL,IPQ5,24,24,5.958333333333333,0.8064504441319252,6.0,4.0,7.0,-0.4637839084134224,0.0344310371079235,5.6177991764554625,6.298867490211204,0.002420474076643586
ALL,IPQ6,24,24,6.041666666666667,0.8064504441319252,6.0,4.0,7.0,-0.6214139165539386,0.30142453972188443,5.701132509788796,6.3822008235445375,0.0014155928511172533
ALL,IPQ_mean,24,24,5.729166666666667,0.5811293768662921,5.666666666666667,4.5,6.833333333333333,0.09975628712787936,-0.2410574167155528,5.483777252068301,5.974556081265033,0.8992232084274292
