Group,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
ALL,S1,24,288,5.319444444444445,1.3233511351368468,6.0,1.0,7.0,-0.7676727810947188,0.12059081815393036,5.165960757040791,5.472928131848098,3.7097657844958887e-13
ALL,S2,24,288,5.472222222222222,1.3509291908417027,6.0,2.0,7.0,-0.7946025590676581,-0.20769495751935585,5.315540002268425,5.62890444217602,9.611625900838184e-15
ALL,S3,24,288,5.270833333333333,1.51516722090899,6.0,1.0,7.0,-0.8302194927054694,0.036030524216259074,5.095102610078079,5.446564056588587,9.564193919264427e-14
ALL,S4,24,288,5.25,1.5279053548957684,6.0,1.0,7.0,-0.823342733495705,0.047620968870620395,5.072791894270042,5.427208105729958,1.320230410455439e-13
ALL,S5,24,288,6.541666666666667,1.7244905322496895,7.0,2.0,9.0,-0.38498646533856573,-0.5236959605325215,6.341658400716148,6.741674932617186,1.6150224491084941e-09
