WWR,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
15,B1,24,48,5.0,1.4731642019671285,5.0,1.0,7.0,-0.7499906212512055,0.032290256255955274,4.572237706490878,5.427762293509122,0.00104142923373729
15,B2,24,48,4.458333333333333,1.623737916874221,5.0,1.0,7.0,-0.23340882927984388,-0.9957970726757219,3.9868489906834297,4.929817675983236,0.007628645747900009
15,B3,24,48,3.9791666666666665,1.8391670563037248,4.0,1.0,7.0,-0.032345333033004325,-1.0170409506631353,3.445128222683043,4.51320511065029,0.008757848292589188
15,Bmean,24,48,4.479166666666667,1.4730137485937123,4.666666666666667,1.3333333333333333,7.0,-0.3271662109903846,-0.7330543176228019,4.0514480602631595,4.906885273070174,0.15452222526073456
45,B1,24,48,5.0,1.4731642019671285,5.0,1.0,7.0,-0.7499906212512055,0.032290256255955274,4.572237706490878,5.427762293509122,0.00104142923373729
45,B2,24,48,4.458333333333333,1.623737916874221,5.0,1.0,7.0,-0.23340882927984388,-0.9957970726757219,3.9868489906834297,4.929817675983236,0.007628645747900009
45,B3,24,48,3.9791666666666665,1.8391670563037248,4.0,1.0,7.0,-0.032345333033004325,-1.0170409506631353,3.445128222683043,4.51320511065029,0.008757848292589188
45,Bmean,24,48,4.479166666666667,1.4730137485937123,4.666666666666667,1.3333333333333333,7.0,-0.3271662109903846,-0.7330543176228019,4.0514480602631595,4.906885273070174,0.15452222526073456
75,B1,24,48,5.0,1.4731642019671285,5.0,1.0,7.0,-0.7499906212512055,0.032290256255955274,4.572237706490878,5.427762293509122,0.00104142923373729
75,B2,24,48,4.458333333333333,1.623737916874221,5.0,1.0,7.0,-0.23340882927984388,-0.9957970726757219,3.9868489906834297,4.929817675983236,0.007628645747900009
75,B3,24,48,3.9791666666666665,1.8391670563037248,4.0,1.0,7.0,-0.032345333033004325,-1.0170409506631353,3.445128222683043,4.51320511065029,0.008757848292589188
75,Bmean,24,48,4.479166666666667,1.4730137485937123,4.666666666666667,1.3333333333333333,7.0,-0.3271662109903846,-0.7330543176228019,4.0514480602631595,4.906885273070174,0.15452222526073456
