Group,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
ALL,B1,24,144,5.0,1.4628260798400265,5.0,1.0,7.0,-0.7340151721834844,-0.05389970686224421,4.759036925089169,5.240963074910831,3.425131822609728e-08
ALL,B2,24,144,4.458333333333333,1.612343124043498,5.0,1.0,7.0,-0.2284370192885458,-1.0108800047476525,4.1927411605281115,4.7239255061385546,1.2401494586811168e-06
ALL,B3,24,144,3.9791666666666665,1.8262604613601172,4.0,1.0,7.0,-0.031656349456669425,-1.0306545629126287,3.678337099555358,4.279996233777975,1.845256292654085e-06
ALL,Bmean,24,144,4.479166666666667,1.462676682292802,4.666666666666667,1.3333333333333333,7.0,-0.32019728765686806,-0.7663096915826633,4.238228201169668,4.720105132163666,0.00047983689000830054
