ExperienceGroup,WWR,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
High,15,B1,16,32,5.1875,1.5951033943634116,6.0,1.0,7.0,-1.1409719963672023,0.5828113371917043,4.612403899284897,5.762596100715103,0.0002804356045089662
High,15,B2,16,32,4.6875,1.674042817504591,5.0,2.0,7.0,-0.4809792483774984,-1.0761655015357596,4.08394320225321,5.29105679774679,0.0013394806301221251
High,15,B3,16,32,3.96875,1.8575803720726802,4.0,1.0,7.0,-0.20920036160017957,-1.006932535026,3.2990208573507545,4.6384791426492455,0.034738123416900635
High,15,Bmean,16,32,4.614583333333334,1.5359710248723157,4.833333333333334,1.3333333333333333,6.666666666666667,-0.5663321389049268,-0.6916330562052333,4.060806725285943,5.168359941380725,0.04100443795323372
High,45,B1,16,32,5.1875,1.5951033943634116,6.0,1.0,7.0,-1.1409719963672023,0.5828113371917043,4.612403899284897,5.762596100715103,0.0002804356045089662
High,45,B2,16,32,4.6875,1.674042817504591,5.0,2.0,7.0,-0.4809792483774984,-1.0761655015357596,4.08394320225321,5.29105679774679,0.0013394806301221251
High,45,B3,16,32,3.96875,1.8575803720726802,4.0,1.0,7.0,-0.20920036160017957,-1.006932535026,3.2990208573507545,4.6384791426492455,0.034738123416900635
High,45,Bmean,16,32,4.614583333333334,1.5359710248723157,4.833333333333334,1.3333333333333333,6.666666666666667,-0.5663321389049268,-0.6916330562052333,4.060806725285943,5.168359941380725,0.04100443795323372
High,75,B1,16,32,5.1875,1.5951033943634116,6.0,1.0,7.0,-1.1409719963672023,0.5828113371917043,4.612403899284897,5.762596100715103,0.0002804356045089662
High,75,B2,16,32,4.6875,1.674042817504591,5.0,2.0,7.0,-0.4809792483774984,-1.0761655015357596,4.08394320225321,5.29105679774679,0.0013394806301221251
High,75,B3,16,32,3.96875,1.8575803720726802,4.0,1.0,7.0,-0.20920036160017957,-1.006932535026,3.2990208573507545,4.6384791426492455,0.034738123416900635
High,75,Bmean,16,32,4.614583333333334,1.5359710248723157,4.833333333333334,1.3333333333333333,6.666666666666667,-0.5663321389049268,-0.6916330562052333,4.060806725285943,5.168359941380725,0.04100443795323372
Low,15,B1,8,16,4.625,1.1474609652039003,5.0,3.0,7.0,0.25530067484107205,-0.22523862934053618,4.013561211792271,5.236438788207729,0.17205727100372314
Low,15,B2,8,16,4.0,1.4605934866804429,4.0,1.0,7.0,0.14671139933174093,0.40693681318681296,3.2217046691420155,4.7782953308579845,0.2682424783706665
Low,15,B3,8,16,4.0,1.8618986725025255,3.5,1.0,7.0,0.35412273990960974,-0.9894986670134598,3.0078642301542464,4.992135769845754,0.12042750418186188
Low,15,Bmean,8,16,4.208333333333333,1.343709624716425,4.166666666666666,1.6666666666666667,7.0,0.15941870942366948,0.13284400806294183,3.492321016091955,4.924345650574711,0.9931014180183411
Low,45,B1,8,16,4.625,1.1474609652039003,5.0,3.0,7.0,0.25530067484107205,-0.22523862934053618,4.013561211792271,5.236438788207729,0.17205727100372314
Low,45,B2,8,16,4.0,1.4605934866804429,4.0,1.0,7.0,0.14671139933174093,0.40693681318681296,3.2217046691420155,4.7782953308579845,0.2682424783706665
Low,45,B3,8,16,4.0,1.8618986725025255,3.5,1.0,7.0,0.35412273990960974,-0.9894986670134598,3.0078642301542464,4.992135769845754,0.12042750418186188
Low,45,Bmean,8,16,4.208333333333333,1.343709624716425,4.166666666666666,1.6666666666666667,7.0,0.15941870942366948,0.13284400806294183,3.492321016091955,4.924345650574711,0.9931014180183411
Low,75,B1,8,16,4.625,1.1474609652039003,5.0,3.0,7.0,0.25530067484107205,-0.22523862934053618,4.013561211792271,5.236438788207729,0.17205727100372314
Low,75,B2,8,16,4.0,1.4605934866804429,4.0,1.0,7.0,0.14671139933174093,0.40693681318681296,3.2217046691420155,4.7782953308579845,0.2682424783706665
Low,75,B3,8,16,4.0,1.8618986725025255,3.5,1.0,7.0,0.35412273990960974,-0.9894986670134598,3.0078642301542464,4.992135769845754,0.12042750418186188
Low,75,Bmean,8,16,4.208333333333333,1.343709624716425,4.166666666666666,1.6666666666666667,7.0,0.15941870942366948,0.13284400806294183,3.492321016091955,4.924345650574711,0.9931014180183411
