ExperienceGroup,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
High,B1,16,96,5.1875,1.5782235182901725,6.0,1.0,7.0,-1.1041039652039908,0.3960104544495988,4.867722193977151,5.507277806022849,6.559165655062316e-09
High,B2,16,96,4.6875,1.6563275801095563,5.0,2.0,7.0,-0.46543744895165806,-1.0911864716292223,4.351896840191311,5.023103159808689,1.0328870558851122e-07
High,B3,16,96,3.96875,1.83792288366944,4.0,1.0,7.0,-0.202440506428109,-1.0291222808743883,3.596352211874439,4.341147788125561,3.215523611288518e-05
High,Bmean,16,96,4.614583333333333,1.5197169057703515,4.833333333333334,1.3333333333333333,6.666666666666667,-0.5480323462611489,-0.7464707062712255,4.306660068807678,4.922506597858988,4.092598464922048e-05
Low,B1,8,48,4.625,1.1227815005032549,5.0,3.0,7.0,0.23822431870120542,-0.4352900834206088,4.298978237372617,4.951021762627383,0.0008720660698600113
Low,B2,8,48,4.0,1.4291792020209928,4.0,1.0,7.0,0.136898279541413,0.0666968599033817,3.585009619107159,4.414990380892841,0.0016209486639127135
Low,B3,8,48,4.0,1.8218531598815018,3.5,1.0,7.0,0.3304364491166603,-1.042160477946431,3.470988987468526,4.529011012531474,0.00047168441233225167
Low,Bmean,8,48,4.208333333333333,1.314809265351944,4.166666666666666,1.6666666666666667,7.0,0.14875563280167783,-0.15095001495964677,3.826552520221679,4.5901141464449875,0.17972469329833984
