ExperienceGroup,DV,n,n_obs,mean,sd,median,min,max,skewness,kurtosis,ci95_low,ci95_high,shapiro_p
High,B1,22,132,5.113636363636363,1.4390822312452862,5.0,1.0,7.0,-1.0446805472716398,0.5570088229414933,4.865850056295872,5.361422670976855,4.0283623659043144e-10
High,B2,22,132,4.681818181818182,1.5838795824100054,5.0,2.0,7.0,-0.4448587033539508,-0.9738043443266893,4.409100150508906,4.954536213127457,2.0212109319572846e-08
High,B3,22,132,3.8863636363636362,1.7149888267622913,4.0,1.0,7.0,0.013129798524907367,-0.807561489255304,3.5910707480997703,4.181656524627503,3.410629142308608e-05
High,Bmean,22,132,4.5606060606060606,1.3828699869760053,4.666666666666667,1.3333333333333333,6.666666666666667,-0.4348290059804398,-0.5765509065746928,4.322498577819434,4.7987135433926875,8.620294829597697e-05
Low,B1,10,60,4.45,1.333086135277011,5.0,2.0,7.0,-0.22214418950074696,-0.5613498870293947,4.105627334867256,4.7943726651327445,0.0015728204743936658
Low,B2,10,60,4.0,1.5622669317698865,4.0,1.0,7.0,0.08277096711065311,-0.7774311857229277,3.5964236573276223,4.403576342672378,0.006174952257424593
Low,B3,10,60,4.1,1.988952539250203,3.5,1.0,7.0,0.2984306506091313,-1.362155473282992,3.5861990769847716,4.613800923015228,1.4070631550566759e-05
Low,Bmean,10,60,4.183333333333334,1.5050761566406323,4.166666666666666,1.6666666666666667,7.0,0.034345030789874366,-0.9207218693931893,3.794530934467802,4.5721357321988645,0.04768609255552292
